fiyat;yasi;renk;gun;km
82.000;2021;mavi;30;1.500
52.500;2021;beyaz;23;4.000
14.528;2020;beyaz;12;0
14.000;2021;kirmizi;10;0
18.500;2021;siyah;20;0
23.000;2021;beyaz;10;0
100.000;2015;sari;10;22.000
29.750;2021;kirmizi;30;0
20.880;2021;beyaz;32;0
27.406;2021;beyaz;30;0
22.500;2016;beyaz;23;22.000
13.591;2021;mavi;15;0
14.990;2021;siyah;21;14.990
22.351;2021;kirmizi;25;0
27.500;2014;bordo;12;55
155.000;2019;siyah;25;4.000
40.000;2016;sari;13;36.500
27.500;2020;siyah;10;25.000
19.202;2021;sari;20;0
46.440;2021;mavi;33;0
15.809;2021;kirmizi;5;0
44.900;2020;siyah;12;0
25.900;2020;beyaz;30;0
29.900;2020;mavi;28;0
22.650;2012;gri;25;7.224
25.450;2013;gri;8;23.718
192.020;2021;beyaz;27;0
46.440;2021;siyah;30;0
15.890;2021;mavi;4;0
44.900;2020;siyah;8;0
25.900;2020;beyaz;9;0
29.900;2020;beyaz;11;0
22.650;2020;beyaz;6;0
24.450;2013;beyz;33;0
34.000;2021;turuncu;33;1.300
13.250;2020;mavi;33;0
16.898;2021;siyah;33;0
31.466;2021;beyaz;22;0
38.350;2020;beyaz;32;3.880
15.250;2021;beyaz;12;0
9.750;2021;beyaz;30;3.495
35.000;2021;kirmizi;30;0
12.500;2016;siyah;30;21.248
9.000;2016;beyaz;30;1.250
13.200;2020;beyaz;30;940
20.350;2021;siyah;30;1.000
9.750;2021;beyaz;30;3.495
180.000;2014;beyaz;30;25.000
35.000;2021;kirmizi;30;0
12.000;2016;siyah;30;21.248
9.000;2016;beyaz;30;1.250
13.200;2021;beyaz;30;940
20.350;2015;siyah;30;28.000
16.000;2020;siyah;30;8.400
31.000;2010;siyah;30;32.954
16.500;2016;beyaz;30;47877
1.180;2021;kirmizi;30;0
46.500;2016;yesil;30;28000
14.500;2020;kirmizi;30;800
16.368;2021;siyah;33;0
19.202;2021;kirmizi;33;0
20.587;2018;turuncu;33;0
16.787;2021;gri;33;0
16.780;2020;siyah;33;0
14.740;2020;mavi;33;0
19.855;2021;mavi;33;0
16.368;2021;siyah;33;0
19.202;2021;beyaz;30;0
2.187;2018;beyaz;33;65000
17.780;2021;beyaz;33;7100
14.740;2020;siyah ;33;4700
30.360;2021;mavi;33;25950
80.000;2019;mavi;33;7100
96.000;2019;siyah;33;4700
47.500;2015;beyaz;33;25950
65.000;2019;siyah;33;28800
175.000;2018;gri;33;4684
15.000;2015;beyaz;33;23437
15.500;2015;beyaz;33;23437
205.000;2016;beyaz;33;244000
8.000;2018;beyaz;33;800
11.750;2018;gri;33;13500
67.500;2015;gri;33;58000
24.000;2013;siyah;33;40000
11.750;2020;siyah;33;5400
25.999;2021;gri;33;0
26.500;2017;beyaz ;33;21800
155.000;2018;gri;33;2150
27.500;2016;siyah;33;6500
30.140;209;beyaz;33;40500
28.000;2020;beyaz;33;3500
27.500;2020;siyah;33;30500
30.140;2016;beyaz;33;0
18.750;2018;beyaz;33;0
18.500;2015;gri;33;45000
71.000;2016;mavi;33;21500
15.000;2016;siyah;33;48000
26.000;2019;beyaz;33;5000
24.000;2020;gri;33;8400
